OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_NAME26,SA4_CODE26,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_data_provider,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_connector_types_normalized,external_number_of_plugs,external_numeric_conflict_flags,external_number_of_plugs_quality,external_number_of_plugs_semantics,external_charger_capacity,external_power_kw_values,external_power_kw_min,external_power_kw_max,external_status,external_operational_status,external_usage_cost,external_last_verified,external_comments,external_opening_hours,external_latitude,external_longitude,external_attributes_json,augmentation_review_reason
,,Muswellbrook NSW 2333,EVUp,2,AC,22 kW,-32.26224229,150.8901391,Muswellbrook Shire Council,2333,Existing Destination Chargers,Hunter Valley exc Newcastle,106,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"01 Wallgrove Road, Sydney NSW 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,Sydney - Blacktown,116,accepted,OCM:coordinate_500m;OSM:coordinate_500m,1.0,False,3.0,65.13844654951765,65.13844654951765,,OCM;OSM,Open Charge Map; OpenStreetMap,OCM:272521;OSM:10590006365,BP Pulse Eastern Creek,"OCM:BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766",BP Pulse (AU); bp pulse,CCS (Type 2); CCS,CCS,2.0,,reported_or_derived_from_connection_quantity; valid,OCM NumberOfPoints or positive connection Quantity; OSM charge_points_count; values above 100 are withheld as suspicious,75 kW,75.0,75.0,75.0,Operational,operational,$0.55/kWh,2023-08-09T12:21:00Z,,,-33.811041669720204,150.85030018744214,"{""OCM::charger_capacities"": ""75 kW"", ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-08-09T12:21:00Z"", ""OCM::latitude"": -33.811041669720204, ""OCM::longitude"": 150.85030018744214, ""OCM::number_of_plugs"": 2.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 75.0, ""OCM::power_kw_min"": 75.0, ""OCM::power_kw_values"": [75.0], ""OCM::station_address"": ""BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766"", ""OCM::station_name"": ""BP Pulse Eastern Creek"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.55/kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.8109506508467, ""OSM::longitude"": 150.850305877351, ""OSM::number_of_plugs"": 2, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 2, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""bp pulse"", ""OSM::osm_last_updated"": ""2025-08-12"", ""OSM::plug_types"": ""CCS""}",
,,"1 - 7 Ross Street, Wilcannia NSW 2836",NRMA Electric,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional,New England and North West,110,review,,0.5,True,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: source address postcode 2836 conflicts with PCODE 2350; Charge@Large: source address postcode 2836 conflicts with PCODE 2350; coordinate exceeds 100m automatic threshold
,,"1 Balfour Street, Sydney NSW 2070",Chargefox,7,AC,22 kW,-33.77410115,151.167035,Ku-ring-gai Council,2070,Existing Destination Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Bay Lane, Byron Bay NSW 2481",Tesla,2,AC,19 kW,-28.64181886,153.6136326,Byron Shire Council,2481,Existing Destination Chargers,Richmond - Tweed,112,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Bay Street, Sydney NSW 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,Sydney - City and Inner South,117,review,,0.5,True,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: external postcode 2007 conflicts with source PCODE 2037
,,"1 Bells Boulevard, Kingscliff NSW 2487",Evie Networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,Richmond - Tweed,112,unmatched,,0.0,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"1 Bradleys Head Road, Sydney NSW 2088",Chargefox,1,AC,22 kW,-33.84103708,151.2422452,Mosman Municipal Council,2088,Existing Destination Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Bradleys Head Road, Sydney NSW 2088",Chargefox,1,AC,22 kW,-33.84141846,151.2426306,Mosman Municipal Council,2088,Existing Destination Chargers,Sydney - North Sydney and Hornsby,121,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Cathedral Square, Sydney NSW 2000",AXCharge,3,AC,22 kW,-33.87136841,151.2137407,"Sydney, Council of the City of",2000,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
