source_index,OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,Charger_rating.100kW,Charger_rating.11kW,Charger_rating.120kW,Charger_rating.125kW,Charger_rating.130kW,Charger_rating.13kW,Charger_rating.14kW,Charger_rating.150kW,Charger_rating.160kW,Charger_rating.165kW,Charger_rating.175kW,Charger_rating.17kW,Charger_rating.180kW,Charger_rating.185kW,Charger_rating.19kW,Charger_rating.200kW,Charger_rating.20kW,Charger_rating.22kW,Charger_rating.23kW,Charger_rating.240kW,Charger_rating.24kW,Charger_rating.250kW,Charger_rating.25kW,Charger_rating.270kW,Charger_rating.30kW,Charger_rating.350kW,Charger_rating.3kW,Charger_rating.400kW,Charger_rating.40kW,Charger_rating.42kW,Charger_rating.47kW,Charger_rating.50kW,Charger_rating.5kW,Charger_rating.60kW,Charger_rating.6kW,Charger_rating.75kW,Charger_rating.7kW,Charger_rating.80kW,Charger_rating.8kW,Charger_rating.9kW,SA4_NAME26,SA4_CODE26,PCODE_ORIGINAL,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_station_name,ocm_operator,ocm_attributes,ocm_fast_dc_indicator,ocm_candidate_count,ocm_coordinate_candidate_count,ocm_nearest_coordinate_gap_m,ocm_review_reason,ocm_quality_flags,ocm_source_postcode_conflict,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_station_name,osm_fast_dc_operator,osm_fast_dc_attributes,osm_fast_dc_fast_dc_indicator,osm_fast_dc_candidate_count,osm_fast_dc_coordinate_candidate_count,osm_fast_dc_nearest_coordinate_gap_m,osm_fast_dc_review_reason,osm_fast_dc_quality_flags,osm_fast_dc_source_postcode_conflict,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_station_name,chargelarge_fast_dc_operator,chargelarge_fast_dc_attributes,chargelarge_fast_dc_fast_dc_indicator,chargelarge_fast_dc_candidate_count,chargelarge_fast_dc_coordinate_candidate_count,chargelarge_fast_dc_nearest_coordinate_gap_m,chargelarge_fast_dc_review_reason,chargelarge_fast_dc_quality_flags,chargelarge_fast_dc_source_postcode_conflict,combined_dc_indicated_status,final_audit_status,matched_source,matched_external_ids,review_candidate_source,manual_review_reason,quality_review_reason,quality_review_required,augmentation_conflict_flags,accepted_source_attributes,augmented_attributes,new_attribute_count,historical_web_evidence
1,,,"01 Wallgrove Road, Sydney NSW 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Blacktown,116,2766,accepted,coordinate_only,65.13844654951181,0.7871794871794873,272521,"BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766",BP Pulse Eastern Creek,BP Pulse (AU),"{""charger_capacities"": ""75 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-08-09T12:21:00Z"", ""number_of_plugs"": null, ""operator"": ""BP Pulse (AU)"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 75.0, ""power_kw_min"": 75.0, ""power_kw_values"": [75.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.55/kWh""}",True,1,1,,,address evidence is inconsistent,False,accepted,coordinate_only,65.79817314323974,0.0,https://www.openstreetmap.org/node/10590006365,,,bp pulse,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 2, ""charging_point_count_raw"": 2, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""bp pulse"", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,accepted,OCM;OSM,OCM:272521;OSM:https://www.openstreetmap.org/node/10590006365,,,OCM: address evidence is inconsistent,yes,,"{""OCM::charger_capacities"": ""75 kW"", ""OCM::charging_point_count"": 2.0, ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-08-09T12:21:00Z"", ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 75.0, ""OCM::power_kw_min"": 75.0, ""OCM::power_kw_values"": [75.0], ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.55/kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::charging_point_count"": 2, ""OSM::charging_point_count_raw"": 2, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::is_free"": false, ""OSM::network"": ""bp pulse"", ""OSM::power_scope"": ""station_reported_maximum""}","{""OCM::connector_types_normalized"": ""CCS"", ""OCM::is_operational"": true, ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 75.0, ""OCM::power_kw_min"": 75.0, ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.55/kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::is_free"": false, ""OSM::network"": ""bp pulse"", ""OSM::power_scope"": ""station_reported_maximum""}",10,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""page_opened"": false, ""reported_confidence"": ""medium"", ""url"": ""https://www.chargeroute.au/chargers/nsw/bp-sydney-sydney""}]"
2,,,"1 - 7 Ross Street, Wilcannia NSW 2836",NRMA Electric,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2836,TfNSW Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,New England and North West,110,2350,review,coordinate_only,29.225432400791746,0.4544715447154472,170824,"82 Marsh Street, Armidale, New South Wales, 2350",Armidale Visitors Centre,NRMA,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2020-12-11T13:42:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""Currently free but will be fee at some point.""}",True,2,1,,source address and original postcode conflict; external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,coordinate_only,421.715462774147,0.26853625170998635,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350",EV Fast Charger 5 Cinders Ln,,"{""connector_types_normalized"": ""CCS"", ""data_provider"": ""Charge@Large"", ""dc_port_count"": 4, ""number_of_plugs"": null, ""power_kw_max"": 150.0, ""power_kw_min"": 150.0, ""power_kw_values"": [150.0], ""power_scope"": ""dc_indicated_ports"", ""site_power_range_raw"": ""150"", ""status_counts"": {""Available"": 3, ""Charging"": 1}, ""status_observed_at"": null, ""total_port_count"": 4}",True,1,1,,source address and original postcode conflict; external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,True,review,review,,,OCM;Charge@Large,OCM: source address and original postcode conflict; external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate; Charge@Large: source address and original postcode conflict; external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""page_opened"": false, ""reported_confidence"": ""medium"", ""url"": ""https://www.plugroo.com.au/nsw/wilcannia""}]"
5,,,"1 Bay Street, Sydney NSW 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - City and Inner South,117,2037,review,coordinate_only,19.442848781978107,0.775,311308,"1 Bay Street, Broadway, NSW, 2007",Tesla Destination Charger,Tesla (including non-tesla),"{""charger_capacities"": ""22 kW"", ""charging_point_count"": 3.0, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2025-03-29T03:34:00Z"", ""number_of_plugs"": null, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)"", ""power_kw_max"": 22.0, ""power_kw_min"": 22.0, ""power_kw_values"": [22.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""0""}",True,2,2,37.874801818931246,external postcode conflicts with source; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,review,,,OCM,OCM: external postcode conflicts with source; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""page_opened"": true, ""reported_confidence"": ""high"", ""url"": ""https://ev-charging-stations.com.au/chargers/nsw/glebe""}]"
6,,,"1 Bells Boulevard, Kingscliff NSW 2487",Evie Networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Richmond - Tweed,112,2487,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,unmatched,unmatched,,,,,,no,,{},{},0,[]
11,,,"1 Dalgal Way, Sydney NSW 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - City and Inner South,117,2037,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,coordinate_only,26.337191871127892,0.0,https://www.openstreetmap.org/node/6965052432,,Tesla Supercharger,Tesla,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 4, ""charging_point_count_raw"": 4, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": true, ""network"": ""Tesla Supercharger"", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,accepted,OSM,OSM:https://www.openstreetmap.org/node/6965052432,,,,no,,"{""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::charging_point_count"": 4, ""OSM::charging_point_count_raw"": 4, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::is_free"": true, ""OSM::network"": ""Tesla Supercharger"", ""OSM::power_scope"": ""station_reported_maximum""}","{""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::is_free"": true, ""OSM::network"": ""Tesla Supercharger"", ""OSM::power_scope"": ""station_reported_maximum""}",6,"[{""binding"": ""source_address_only; external identity not verified"", ""conclusion"": """", ""file"": ""data/reference/web_review/task3_104_non_ocm_web_verified.csv"", ""page_opened"": false, ""reported_confidence"": ""medium"", ""url"": ""https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3""}]"
16,,,"1 Frederick Street, Sydney NSW 2064",Evie Networks,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - North Sydney and Hornsby,121,2064,review,coordinate_only,157.01557144384634,0.33695652173913043,272613,"65 Reserve Road, St Leonards, New South Wales, 2065",TLE Electrical Artarmon,Chargefox,"{""charger_capacities"": ""22 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-07-15T07:52:00Z"", ""number_of_plugs"": null, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 22.0, ""power_kw_min"": 22.0, ""power_kw_values"": [22.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""$0.30/kWh""}",True,1,1,,external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,review,coordinate_only,480.3922950434002,0.33163265306122447,393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"18/39 Herbert Street, St Leonards, NSW 2065",Delta HQ,,"{""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Charge@Large"", ""dc_port_count"": 2, ""number_of_plugs"": null, ""power_kw_max"": 25.0, ""power_kw_min"": 25.0, ""power_kw_values"": [25.0], ""power_scope"": ""dc_indicated_ports"", ""site_power_range_raw"": ""25"", ""status_counts"": {""Available"": 2}, ""status_observed_at"": null, ""total_port_count"": 2}",True,1,1,,external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,False,review,review,,,OCM;Charge@Large,OCM: external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate; Charge@Large: external postcode conflicts with source; house numbers conflict; address evidence is inconsistent; candidate does not pass the automatic identity gate,,no,,{},{},0,"[{""binding"": ""same source address and OCM ID; search evidence only"", ""conclusion"": ""web_evidence_found_not_identity_proof"", ""file"": ""data/reference/web_review/task3_ocm_125_web_confidence.csv"", ""page_opened"": true, ""reported_confidence"": ""high"", ""url"": ""https://www.chargeroute.au/ev-chargers/nsw/sydney""}]"
19,,,"1 Greenbridge Drive, Wilton NSW 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571,Existing Fast Chargers,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Outer South West,123,2571,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,coordinate_only,2.923576208797703,0.0,https://www.openstreetmap.org/node/12624993541,,,Chargefox,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": null, ""charging_point_count_raw"": null, ""connector_types_normalized"": ""CCS"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,accepted,OSM,OSM:https://www.openstreetmap.org/node/12624993541,,,,no,,"{""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::is_free"": false, ""OSM::power_scope"": ""station_reported_maximum""}","{""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CCS"", ""OSM::is_free"": false, ""OSM::power_scope"": ""station_reported_maximum""}",5,"[{""binding"": ""source_address_only; external identity not verified"", ""conclusion"": """", ""file"": ""data/reference/web_review/task3_104_non_ocm_web_verified.csv"", ""page_opened"": false, ""reported_confidence"": ""medium"", ""url"": ""https://www.plugroo.com.au/nsw/cordeaux""}]"
23,,,"1 Ingham Drive, Casula NSW 2170",Evie Networks,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170,ARENA - Driving the Nation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Sydney - South West,127,2170,accepted,coordinate_and_fuzzy_address,125.52341782426228,1.0,272688,"1 Ingham Dr, Casula, New South Wales, 2170",Casula Mall,Evie,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-07-16T22:04:00Z"", ""number_of_plugs"": null, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,1,,,,False,accepted,coordinate_only,0.9333057450103917,0.0,https://www.openstreetmap.org/node/9863034303,,,Evie Networks,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 2, ""charging_point_count_raw"": 2, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,accepted,OCM;OSM,OCM:272688;OSM:https://www.openstreetmap.org/node/9863034303,,,,no,,"{""OCM::charger_capacities"": ""50 kW"", ""OCM::charging_point_count"": 2.0, ""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-07-16T22:04:00Z"", ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 50.0, ""OCM::power_kw_min"": 50.0, ""OCM::power_kw_values"": [50.0], ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::charging_point_count"": 2, ""OSM::charging_point_count_raw"": 2, ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::is_free"": false, ""OSM::power_scope"": ""station_reported_maximum""}","{""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::is_operational"": true, ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 50.0, ""OCM::power_kw_min"": 50.0, ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::is_free"": false, ""OSM::power_scope"": ""station_reported_maximum""}",8,[]
27,,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2470,TfNSW Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,Capital Region,101,2622,review,fuzzy_address_only,792872.5121487663,0.8560975609756099,260392,"Little Walker Street, New South Wales, 2470",Little Walker Street,NRMA,"{""charger_capacities"": ""50 kW"", ""charging_point_count"": 2.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-04-23T10:48:00Z"", ""number_of_plugs"": null, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 50.0, ""power_kw_min"": 50.0, ""power_kw_values"": [50.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": """"}",True,1,0,,source address and original postcode conflict; address evidence is street-level only; address-only match; coordinates exceed 500 m,,True,review,coordinate_only,37.93703118309776,0.0,https://www.openstreetmap.org/node/12644131941,,,NRMA,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 2, ""charging_point_count_raw"": 2, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": """", ""number_of_plugs"": null, ""opening_hours"": """", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,1,1,,source address and original postcode conflict; candidate does not pass the automatic identity gate,,True,unmatched,unmatched,,,,,,,{},,0,0,,,,True,review,review,,,OCM;OSM,OCM: source address and original postcode conflict; address evidence is street-level only; address-only match; coordinates exceed 500 m; OSM: source address and original postcode conflict; candidate does not pass the automatic identity gate,,no,,{},{},0,"[{""binding"": ""source_address_only; external identity not verified"", ""conclusion"": """", ""file"": ""data/reference/web_review/task3_104_non_ocm_web_verified.csv"", ""page_opened"": false, ""reported_confidence"": ""low"", ""url"": ""https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/""}]"
35,,,"1 Park Street, Sydney NSW 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103,Existing Fast Chargers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney - Northern Beaches,122,2103,accepted,coordinate_and_fuzzy_address,5.722596534549362,0.9371428571428572,192929,"1 Park St, Mona Vale, NSW, 2103",Mona Vale library carpark [JOLT],Jolt,"{""charger_capacities"": ""25 kW"", ""charging_point_count"": 1.0, ""connector_types_normalized"": ""CCS;CHAdeMO"", ""data_provider"": ""Open Charge Map"", ""is_operational"": true, ""last_verified"": ""2023-02-11T08:43:00Z"", ""number_of_plugs"": null, ""operator"": ""Jolt"", ""plug_types"": ""CCS (Type 2); CHAdeMO"", ""power_kw_max"": 25.0, ""power_kw_min"": 25.0, ""power_kw_values"": [25.0], ""power_scope"": ""dc_indicated_connection_ratings"", ""status"": ""Operational"", ""usage_cost"": ""First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time""}",True,2,2,58.20922237203358,,,False,accepted,coordinate_only,15.388839462112136,0.0,https://www.openstreetmap.org/node/9704706490,,,Jolt,"{""access_condition"": ""Free Access"", ""allows_card_payment"": false, ""allows_reservation"": false, ""charging_point_count"": 1, ""charging_point_count_raw"": 1, ""connector_types_normalized"": ""CHAdeMO"", ""data_provider"": ""OpenStreetMap"", ""is_free"": false, ""network"": ""JOLT"", ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""power_kw_max"": null, ""power_kw_min"": null, ""power_scope"": ""station_reported_maximum"", ""pricing_info"": """"}",True,2,2,61.68753183782767,,,False,unmatched,unmatched,,,,,,,{},,0,0,,,,False,accepted,accepted,OCM;OSM,OCM:192929;OSM:https://www.openstreetmap.org/node/9704706490,,,,no,,"{""OCM::charger_capacities"": ""25 kW"", ""OCM::charging_point_count"": 1.0, ""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-02-11T08:43:00Z"", ""OCM::operator"": ""Jolt"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 25.0, ""OCM::power_kw_min"": 25.0, ""OCM::power_kw_values"": [25.0], ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::charging_point_count"": 1, ""OSM::charging_point_count_raw"": 1, ""OSM::connector_types_normalized"": ""CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::is_free"": false, ""OSM::network"": ""JOLT"", ""OSM::opening_hours"": ""24/7"", ""OSM::power_scope"": ""station_reported_maximum""}","{""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::is_operational"": true, ""OCM::operator"": ""Jolt"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 25.0, ""OCM::power_kw_min"": 25.0, ""OCM::power_scope"": ""dc_indicated_connection_ratings"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time"", ""OSM::access_condition"": ""Free Access"", ""OSM::allows_card_payment"": false, ""OSM::allows_reservation"": false, ""OSM::connector_types_normalized"": ""CHAdeMO"", ""OSM::is_free"": false, ""OSM::network"": ""JOLT"", ""OSM::opening_hours"": ""24/7"", ""OSM::power_scope"": ""station_reported_maximum""}",11,[]
