original,cleaned,enriched,enriched_street,enriched_suburb,enriched_state,enriched_postcode,detail_gain,length_gain,has_all_components
", Muswellbrook, 2333",Muswellbrook NSW 2333,Hill Street Muswellbrook New South Wales 2333,Hill Street,Muswellbrook,New South Wales,2333,4,25,True
"1 Cathedral Sq, Sydney, 2000","1 Cathedral Sq, Sydney NSW 2000",St Mary's Cathedral Square Sydney New South Wales 2000,St Mary's Cathedral Square,Sydney,New South Wales,2000,4,26,True
"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",Dalgal Way Forest Lodge New South Wales 2037,Dalgal Way,Forest Lodge,New South Wales,2037,3,18,True
"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",1 Dalgal Way Forest Lodge New South Wales 2037,1 Dalgal Way,Forest Lodge,New South Wales,2037,4,20,True
"1034 The Escort Way, Borenore, 2800","1034 The Escort Way, Borenore NSW 2800",The Escort Way New South Wales 2800,The Escort Way,,New South Wales,2800,1,0,False
"1650 Alpine Way, Crackenback, 2627","1650 Alpine Way, Crackenback NSW 2627",Bullocks Drive New South Wales 2627,Bullocks Drive,,New South Wales,2627,1,1,False
"19 Narabang Way, Sydney, 2085","19 Narabang Way, Sydney NSW 2085",23 Narabang Way Sydney New South Wales 2085,23 Narabang Way,Sydney,New South Wales,2085,3,14,True
"1985 Camden Valley Way, Prestons NSW 2170","1985 Camden Valley Way, Prestons NSW 2170",Corfield Road Prestons New South Wales 2170,Corfield Road,Prestons,New South Wales,2170,0,2,True
"2 Hector Ct, Sydney, 2155","2 Hector Ct, Sydney NSW 2155",Hector Court Kellyville New South Wales 2155,Hector Court,Kellyville,New South Wales,2155,2,19,True
"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794,2,15,True
"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794,2,15,True
"2032 Camden Valley Way, Sydney, 2174","2032 Camden Valley Way, Sydney NSW 2174",Kibby Road Edmondson Park New South Wales 2174,Kibby Road,Edmondson Park,New South Wales,2174,2,10,True
