index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude
0,", Muswellbrook, 2333",Muswellbrook NSW 2333,Hill Street Muswellbrook New South Wales 2333,Hill Street,Muswellbrook,New South Wales,2333,,EVUp,-32.26224229,150.8901391
9,"1 Cathedral Sq, Sydney, 2000","1 Cathedral Sq, Sydney NSW 2000",St Mary's Cathedral Square Sydney New South Wales 2000,St Mary's Cathedral Square,Sydney,New South Wales,2000,,AXCharge,-33.87136841,151.2137407
10,"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",Dalgal Way Forest Lodge New South Wales 2037,Dalgal Way,Forest Lodge,New South Wales,2037,,Tesla,-33.87637442,151.1776376
11,"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",1 Dalgal Way Forest Lodge New South Wales 2037,1 Dalgal Way,Forest Lodge,New South Wales,2037,,Tesla,-33.87650055,151.178
65,"1034 The Escort Way, Borenore, 2800","1034 The Escort Way, Borenore NSW 2800",The Escort Way New South Wales 2800,The Escort Way,,New South Wales,2800,,Tesla,-33.25922627,149.00404
208,"1650 Alpine Way, Crackenback, 2627","1650 Alpine Way, Crackenback NSW 2627",Bullocks Drive New South Wales 2627,Bullocks Drive,,New South Wales,2627,,Chargefox,-36.44508413,148.4499129
244,"19 Narabang Way, Sydney, 2085","19 Narabang Way, Sydney NSW 2085",23 Narabang Way Sydney New South Wales 2085,23 Narabang Way,Sydney,New South Wales,2085,,Saascharge,-33.7073564,151.2121241
256,"1985 Camden Valley Way, Prestons NSW 2170","1985 Camden Valley Way, Prestons NSW 2170",Corfield Road Prestons New South Wales 2170,Corfield Road,Prestons,New South Wales,2170,,Evie,-33.95224765,150.8557529
268,"2 Hector Ct, Sydney, 2155","2 Hector Ct, Sydney NSW 2155",Hector Court Kellyville New South Wales 2155,Hector Court,Kellyville,New South Wales,2155,,Chargefox,-33.71912317,150.9544184
272,"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794,,Non-networked,-33.83527532,148.6811792
273,"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794,,Tesla,-33.83547852,148.6817277
307,"2032 Camden Valley Way, Sydney, 2174","2032 Camden Valley Way, Sydney NSW 2174",Kibby Road Edmondson Park New South Wales 2174,Kibby Road,Edmondson Park,New South Wales,2174,,Exploren,-33.95508313,150.8622653
311,"2072 Camden Valley Way, Edmondson Park, NSW, 2174","2072 Camden Valley Way, Edmondson Park NSW 2174",Camden Valley Way Edmondson Park New South Wales 2174,Camden Valley Way,Edmondson Park,New South Wales,2174,,Ampol,-33.9558559,150.8648944
325,"2197 Giinagay Way, Nambucca Heads, 2448","2197 Giinagay Way, Nambucca Heads NSW 2448",Marshall Way Nambucca Heads New South Wales 2448,Marshall Way,Nambucca Heads,New South Wales,2448,,Tesla,-30.65431636,152.986997
338,"2260 Camden Valley Way, Sydney, 2170","2260 Camden Valley Way, Sydney NSW 2170",Campbelltown Road Casula New South Wales 2170,Campbelltown Road,Casula,New South Wales,2170,,JOLT,-33.95800605,150.8864635
339,"2260 Camden Valley Way, Sydney, 2170","2260 Camden Valley Way, Sydney NSW 2170",Campbelltown Road Casula New South Wales 2170,Campbelltown Road,Casula,New South Wales,2170,,JOLT,-33.9581552,150.8866296
340,"227 Railway Terrace, Schofields NSW 2762","227 Railway Terrace, Schofields NSW 2762",227 Railway Terrace Schofields New South Wales 2762,227 Railway Terrace,Schofields,New South Wales,2762,,Evie,-33.705677,150.876075
414,"3 Bowden Way
Beresfield NSW 2322
Australia","3 Bowden Way, Beresfield NSW 2322",Bowden Way Beresfield New South Wales 2322,Bowden Way,Beresfield,New South Wales,2322,Thynk Beresfield,Non-networked,-32.8026234,151.6332904
419,"3 Columbia Way, Sydney, 2153","3 Columbia Way, Sydney NSW 2153",Windsor Road Norwest New South Wales 2153,Windsor Road,Norwest,New South Wales,2153,,Exploren,-33.73052857,150.9717377
421,"3 Fordham Way, Sydney, 2570","3 Fordham Way, Sydney NSW 2570",Fordham Way Oran Park New South Wales 2570,Fordham Way,Oran Park,New South Wales,2570,,Exploren,-34.00018823,150.7388438
508,"39 East Espl, Sydney, 2095","39 East Espl, Sydney NSW 2095",39 East Esplanade Manly New South Wales 2095,39 East Esplanade,Manly,New South Wales,2095,,Gentari,-33.79983388,151.286
520,"40 Kingsway, Sydney, 2099","40 Kingsway, Sydney NSW 2099",Kingsway Dee Why New South Wales 2099,Kingsway,Dee Why,New South Wales,2099,,Tesla,-33.75031336,151.2863123
538,"417 Hinterland Way, Knockrow, 2479","417 Hinterland Way, Knockrow NSW 2479",Hinterland Way New South Wales 2479,Hinterland Way,,New South Wales,2479,,ChargePoint,-28.74979684,153.5343183
580,"490 Macleay Valley Way, South Kempsey, 2440","490 Macleay Valley Way, South Kempsey NSW 2440",Macleay Valley Way New South Wales,Macleay Valley Way,,New South Wales,,,Exploren,-31.11738843,152.8269229
618,"55 North Steyne, Sydney, 2095","55 North Steyne, Sydney NSW 2095",92 North Steyne Sydney New South Wales 2095,92 North Steyne,Sydney,New South Wales,2095,,Tesla,-33.7915586,151.286988
639,"59 The Centre, Sydney, 2087","59 The Centre, Sydney NSW 2087",The Centre Sydney New South Wales 2087,The Centre,Sydney,New South Wales,2087,,JOLT,-33.76210915,151.2142012
659,"600 Kingsway, Sydney, 2228","600 Kingsway, Sydney NSW 2228",Kingsway Miranda New South Wales 2228,Kingsway,Miranda,New South Wales,2228,,Tesla,-34.03398503,151.0995746
660,"6056 Henry Parkes Way, Manildra, 2865","6056 Henry Parkes Way, Manildra NSW 2865",Henry Parkes Way Manildra New South Wales 2865,Henry Parkes Way,Manildra,New South Wales,2865,,Tesla,-33.18793998,148.5347007
662,"61 Hawkesbury Valley Way, Windsor, 2756","61 Hawkesbury Valley Way, Windsor NSW 2756",Rum Corp Lane Sydney New South Wales 2756,Rum Corp Lane,Sydney,New South Wales,2756,,Tesla,-33.60953258,150.8076797
689,"71 Bulahdelah Way, Bulahdelah, 2423","71 Bulahdelah Way, Bulahdelah NSW 2423",Bulahdelah Way Bulahdelah New South Wales 2423,Bulahdelah Way,Bulahdelah,New South Wales,2423,,Exploren,-32.40902707,152.2106787
721,"8 Kylie Clos, Central Coast, 2263","8 Kylie Clos, Central Coast NSW 2263",Kylie Close Lake Haven New South Wales 2263,Kylie Close,Lake Haven,New South Wales,2263,,Tesla,-33.24437942,151.5005706
748,"88 Broadway, Sydney, 2008","88 Broadway, Sydney NSW 2008",Abercrombie Street Chippendale New South Wales 2008,Abercrombie Street,Chippendale,New South Wales,2008,,Tesla,-33.88482987,151.1986226
759,"8s South Steyne, Sydney, 2095","8S South Steyne, Sydney NSW 2095",Ashburner Street Sydney New South Wales 2095,Ashburner Street,Sydney,New South Wales,2095,,Exploren,-33.79987792,151.2894434
763,"9 Eastern Valley Way, Northbridge NSW 2063","9 Eastern Valley Way, Northbridge NSW 2063",Eastern Valley Way Northbridge New South Wales 2063,Eastern Valley Way,Northbridge,New South Wales,2063,,Evie,-33.809326,151.208848
795,"A/2 Macquarie St, Sydney, 2150","A/2 Macquarie Street, Sydney NSW 2150",Macquarie Street Sydney New South Wales 2150,Macquarie Street,Sydney,New South Wales,2150,,Exploren,-33.81408613,150.9991782
796,"Albert Pde, Sydney, 2131","Albert Parade, Sydney NSW 2131",Albert Parade Ashfield New South Wales 2131,Albert Parade,Ashfield,New South Wales,2131,,Exploren,-33.88281186,151.1232022
