index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
914,"Murray Rose Ave, Sydney, 2127","Murray Rose Avenue, Sydney NSW 2127",9 Murray Rose Avenue Sydney Olympic Park New South Wales 2127,9 Murray Rose Avenue,Sydney Olympic Park,New South Wales,2127.0,,NRMA,-33.84603808,151.0698058,5,11,6,29,61,32
861,"Goobarabah Ave, Central Coast, 2263","Goobarabah Avenue, Central Coast NSW 2263",Lake Haven Shopping Centre Carpark Lake Haven New South Wales 2263,Lake Haven Shopping Centre Carpark,Lake Haven,New South Wales,2263.0,,Chargefox,-33.24040245,151.5038719,5,11,6,35,66,31
880,"Jersey St, Sydney, 2077","Jersey Street, Sydney NSW 2077",462 Peats Ferry Road Asquith New South Wales 2077,462 Peats Ferry Road,Asquith,New South Wales,2077.0,,BP,-33.68997402,151.1061692,4,9,5,23,49,26
812,"Breese Pde, Forster, 2428","Breese Parade, Forster NSW 2428",NSW Coastline Cycleway Forster Keys New South Wales 2428,NSW Coastline Cycleway,Forster Keys,New South Wales,2428.0,,Chargefox,-32.20032137,152.5184084,4,9,5,25,56,31
931,"Pole Ln, Sydney, 2065","Pole Lane, Sydney NSW 2065",36 Hume Street Crows Nest New South Wales 2065,36 Hume Street,Crows Nest,New South Wales,2065.0,,Evie,-33.82462167,151.1997668,4,9,5,21,46,25
926,"Pacific Hwy, Boambee, 2450","Pacific Highway, Boambee NSW 2450",Drive Thru North Boambee Valley New South Wales 2450,Drive Thru,North Boambee Valley,New South Wales,2450.0,,Chargefox,-30.31793098,153.0897227,4,9,5,26,52,26
974,"Western Motorway, Sydney, 2766","Western Motorway, Sydney NSW 2766",Hungry Jacks Drive-Thru Eastern Creek New South Wales 2766,Hungry Jacks Drive-Thru,Eastern Creek,New South Wales,2766.0,,Ampol,-33.80154859,150.886,4,9,5,30,58,28
11,"1 Dalgal Way, Sydney, 2037","1 Dalgal Way, Sydney NSW 2037",1 Dalgal Way Forest Lodge New South Wales 2037,1 Dalgal Way,Forest Lodge,New South Wales,2037.0,,Tesla,-33.87650055,151.178,5,9,4,26,46,20
0,", Muswellbrook, 2333",Muswellbrook NSW 2333,Hill Street Muswellbrook New South Wales 2333,Hill Street,Muswellbrook,New South Wales,2333.0,,EVUp,-32.26224229,150.8901391,3,7,4,20,45,25
876,"Holborn Ct, Sydney, 2557","Holborn Ct, Sydney NSW 2557",Holborn Circuit Gledswood Hills New South Wales 2557,Holborn Circuit,Gledswood Hills,New South Wales,2557.0,,Exploren,-34.02030235,150.7634565,4,8,4,24,52,28
872,"Henderson Rd, Sydney, 2174","Henderson Road, Sydney NSW 2174",Sergeant Street Edmondson Park New South Wales 2174,Sergeant Street,Edmondson Park,New South Wales,2174.0,,Chargefox,-33.9694585,150.8563874,4,8,4,26,51,25
892,"Larkin Ln, Lismore, 2480","Larkin Lane, Lismore NSW 2480",104-106 Keen Street Lismore New South Wales 2480,104-106 Keen Street,Lismore,New South Wales,2480.0,,Everty,-28.80843648,153.2793393,4,8,4,24,48,24
918,"North Ter, Sydney, 2200","North Ter, Sydney NSW 2200",Lady Cutler Avenue Bankstown New South Wales 2200,Lady Cutler Avenue,Bankstown,New South Wales,2200.0,,Chargefox,-33.91649454,151.0402563,4,8,4,23,49,26
878,"Innovation Way, Wollongong, 2500","Innovation Way, Wollongong NSW 2500",Squires Way North Wollongong New South Wales 2500,Squires Way,North Wollongong,New South Wales,2500.0,,Chargefox,-34.40008513,150.8996306,4,8,4,32,49,17
