chargelarge_id,name,address,latitude,longitude,power_range,charge_point_count,port_count,dc_port_count,connector_types,min_power_kw,max_power_kw,status_counts,fast_dc_indicator
32c163d9-84aa-4c71-b092-9aab18f2e771-C027643,Test 001,"62 Kitchener St, St Ives, St Ives, NSW 2075",-33.71289756,151.17095918,7.4,1,1,0,TYPE2,7.4,7.4,"{""Missing"": 1}",False
179ada28-f0c6-4431-a1fc-bbb2e5ec26d6-AUCHB25390002,Edgewater Motel,"1 Princess Avenue South, Burrill Lake, NSW 2539",-35.3883582,150.4481227,22,4,4,0,TYPE2,22.0,22.0,"{""Available"": 4}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1329,[TBC] [SO-35605] Carpark 801 - Xavier Sun,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,1,1,0,TYPE2,7.0,7.0,"{""Missing"": 1}",False
d1cbdd86-205d-4538-b287-34032bf74788-u-DjHT_9ORnC_RpMdhcRvBOYwCVpKrqQhsiV,7 Koala Pl Boat Harbour NSW 2316,"7 Koala Pl, Boat Harbour, NSW 2316",-32.777059,152.1102617,22,4,4,0,TYPE2,22.0,22.0,"{""Available"": 4}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-206,20 Hillcrest St-Homebush,"20 Hillcrest St, Homebush, NSW, Australia, 21, Homebush, NSW 2140",-33.862411,151.079737,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
32c163d9-84aa-4c71-b092-9aab18f2e771-2407003381,Test 001,"62 Kitchener St, St Ives, St Ives, NSW 2075",-33.71289756,151.17095918,7.4,1,1,0,TYPE2,7.4,7.4,"{""Missing"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-252,TEST MQ,"287 Victoria Rd, Rydalmere, NSW 2116",-33.8242036,151.0502673,7 - 120,9,16,4,CCS2|TYPE2,7.0,120.0,"{""Available"": 11, ""Missing"": 2, ""OutOfService"": 3}",True
baaffa39-0adb-422e-a7bf-4b391d232b5d-3,AGL Corporate EV Public Charging,"103 Denison St, Rozelle NSW 2039, Australia, Rozelle, NSW 2039",-33.869885,151.17001,7 - 22,16,16,0,TYPE2,7.0,22.0,"{""Inoperative"": 7, ""Unknown"": 9}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-244,11 Barwon Park Rd-St Peters,"11 Barwon Park Rd, St Peters, NSW, 2044, City of Sydney, NSW 2044",-33.911284,151.181307,22,2,2,0,TYPE2,22.0,22.0,"{""Inoperative"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-49,1 Denison St-Rozelle,"1 Denison St, Rozelle NSW 2039, Australia, Rozelle, NSW 2039",-33.865594,151.16783,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Charging"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-829,Intellihub - Murriverie Road North Bondi,"1 Reina St, North Bondi, NSW 2026",-33.8818567,151.275285,22,2,2,0,TYPE2,22.0,22.0,"{""Charging"": 1, ""Missing"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-321,PEMBROKE - Energy Trade,"48 Pembroke St, Epping, NSW 2121",-33.771806,151.0879443,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-247,81 Corish Circle-Banksmeadow,"81 Corish Circle, Banksmeadow, NSW, Australia, Bayside, NSW 2019",-33.946987,151.221714,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-22,25 Childe St-Byron Bay,"25 Childe St, Byron Bay NSW 2481, Australia, Byron Bay, NSW 2481",-28.6343,153.598951,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-185,Op 10 Neild Ave-Edgecliff,"Neild Avenue 6, Darlinghurst, NSW 2010",-33.877878,151.228855,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1476,[TBC] [SO000493] Raston Group,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,9,9,0,TYPE2,7.0,7.0,"{""Missing"": 9}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1468,[TBC] [SO000277] CS Energy - CSE555 - Garden Square,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,10,10,0,TYPE2,7.0,7.0,"{""Missing"": 10}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-129,25 Swanson St-Erskineville,"25 Swanson St, Erskineville NSW 2043, Austral, Erskineville, NSW 2043",-33.900873,151.188801,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1608,Orange City Council - Aquatic Centre,"21A Hill St, Orange, NSW 2800",-33.288714,149.0916869,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Missing"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-218,OP 2 Cambridge St-Singleton,"2 Cambridge St, Singleton NSW 2330, Australia, Singleton, NSW 2330",-32.560981,151.174902,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""OutOfService"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-117,116 Bruce Street-Cooks Hill,"Bruce Street 116, Cooks Hill, NSW 2300",-32.933201,151.766914,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-121,2 King St Bondi NSW 2026,"2 King St, Bondi NSW 2026, Australia, Bondi, NSW 2026",-33.894543,151.26083,22,1,1,0,TYPE2,22.0,22.0,"{""Charging"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-173,1 Shelton St-Charlestown,"1 Shelton St, Charlestown NSW 2290, Australia, Charlestown, NSW 2290",-32.96584,151.699286,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Charging"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-190,6 Ethel St-Eastwood,"6 Ethel St, Eastwood NSW 2122, Eastwood, NSW 2122",-33.790025,151.083105,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-254,56 Baxter Road-Mascot,"56-60 Baxter Road, Mascot, Bayside, NSW 2020",-33.931523,151.186961,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-503,"46-50 South St, Gymea NSW 2227","46-50 South St, Gymea NSW 2227, Australia, Gymea, NSW 2227",-34.035562,151.08589,22,1,1,0,TYPE2,22.0,22.0,"{""Unknown"": 1}",False
393dc550-5791-46d3-a359-20e9e5b406b3-672d6bf9f4ef0f2e4a094ca1,Strikes,"31 Strikes Ln, Eurunderee, NSW 2850",-32.5220206,149.6135511,7,3,3,0,TYPE2,7.0,7.0,"{""Available"": 3}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1280,[TBC] [SO-50048] Interleasing,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,2,2,0,TYPE2,7.0,7.0,"{""Missing"": 2}",False
179ada28-f0c6-4431-a1fc-bbb2e5ec26d6-AUCHB27650008,Sydney Business Park Stage 2,"15 Hollinsworth Road, Sydney, NSW 2765",-33.7190837,150.8388294,22,3,3,0,TYPE2,22.0,22.0,"{""Available"": 3}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-6,EVSE Australia,"19/287 Victoria Rd, Rydalmere, NSW 2116",-33.8120957,151.0357542,0 - 60,8,10,3,CCS2|TYPE2,0.0,60.0,"{""Available"": 2, ""Missing"": 8}",True
15d06bf5-6b4a-425d-9312-bae4b17cc22b-260,Energy Trade - Schofields - Jerralong Dr/Isla St,"125 Jerralong Dr, Schofields, NSW 2762",-33.7035011,150.881432,22,3,3,0,TYPE2,22.0,22.0,"{""Missing"": 3}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-380,Beach St Huskisson - Climax Air,"9 Beach St, Huskisson, NSW 2540",-35.0449083,150.6754418,7,1,1,0,TYPE2,7.0,7.0,"{""Missing"": 1}",False
393dc550-5791-46d3-a359-20e9e5b406b3-659cb78903c231cb9400410a,Yarrawonga Mulwala Golf Club Resort (Villas),"Golf Club Road, Mulwala, NSW 2647",-36.0054412,145.9949607,7,4,4,0,TYPE2,7.0,7.0,"{""Available"": 4}",False
