tfnsw_unique_id,source_index,Station_name,Station_address,Operator,PCODE,matched_source,coordinate_supported_source,matched_external_addresses,minimum_match_distance_m,augmentation_attribute_count,source_match_method_summary,web_query,web_evidence_url,web_search_found,web_page_opened,web_evidence_confidence,web_evidence_confidence_reason,match_identity_decision,web_evidence_excerpt
TFNSW-0013,11,,"1 Dalgal Way, Sydney NSW 2037",Tesla,2037.0,OSM,OSM,,26.33719187131462,5,OSM:coordinate_500m,"""1 Dalgal Way, Sydney NSW 2037"" EV charger",https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3,True,False,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,"[search] Tesla — Sydney EV Charger — Sydney NSW | ChargeRoute (https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3)
citeturn297search0 [wordlim: 200] Crawled: 2 weeks ago; Tesla — Sydney Sydney, NSW · 1 Dalgal Way, Sydney, 2037 ACup to 22 kWTeslaScore 24.5 Operational (per source)PLUS ES — Johnston St Annandale Johnston St Annandale, NSW · 270 Johnston St Annandale NSW 2038 Australia ACup to 22 kWPLUS ESScore 22.5 Planned / not confirmed operational PLUS ES — Johnston St Annandale Johnston St Annandale, NSW · 266 Johnston St Annandale NSW 2038 Australia ACup to 22 kWPLUS ESScore 22.5 Planned / not confirmed operational PLUS ES — Johnston St Annandale Johnston St Annandale, NSW · 272 Johnston St Annandale NSW 2038 Australia ACup to 22 kWPLUS ESScore 22.5 Planned / not confirmed operational EVX — Booth St Annandale Booth St Annandale, NSW · 65 Booth St Annandale NSW 2038 Australia ACup to 22 kWEVXScore 24.5 Planned / not confirmed operational EVX — C Taylor St Annandale C Taylor St Annandale, NSW · 34C Taylor St Annandale NSW 2038 Australia ACup to 22 kWEVXScore 24.5 Planned / not confirmed operational PLUS ES — Nelson St Annandale Nelson St Annandale, NSW · 118 Nelson St Annanda
[opened page] Internal Error ()
citeturn298view0 [wordlim: 200] Source: open({""ref_id"":""https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3"",""lineno"":null}); Total lines: 1
L0: URL https://www.chargeroute.au/chargers/nsw/tesla-sydney-sydney-3 is not safe to open (non-retryable error)"
TFNSW-0021,19,,"1 Greenbridge Drive, Wilton NSW 2571",Chargefox,2571.0,OSM,OSM,,2.9235762085473587,4,OSM:coordinate_500m,"""1 Greenbridge Drive, Wilton NSW 2571"" EV charger",https://www.plugroo.com.au/nsw/cordeaux,True,False,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,"[search] EV Charging Stations Cordeaux – Find Chargers Near You | Plugroo (https://www.plugroo.com.au/nsw/cordeaux)
citeturn299search0 [wordlim: 200] Crawled: 3 weeks ago;   * 1 Greenbridge Drive, Wilton NSW 2571 CCS 22×160 kW View station details ... Plugroo helps Cordeaux EV drivers avoid stale charger directories by combining operator data with verified community reports, so station status, access rules and pricing are easier to check before you arrive.
  * 5 Oxford Rd, Dapto NSW 2530 Type 11×2 kW View station details
  * 345 Lawrence Hargrave Dr, Thirroul NSW 2515 Type 22×22 kW View station details
  * Cnr Bellambi Ln &, Watts Ln, Bellambi, Russell Vale NSW 2517 CCS 22×120 kW View station details
  * 61 Church St, Wollongong NSW 2500 Type 23×22 kW View station details
  * 2 Robsons Road, Keiraville NSW 2500 Type 24×22 kW View station details
  * 52 Taylor Rd, Albion Park NSW 2527 Type 24×22 kW View station details
  * Princes Highway 251, Wollongong NSW 2516 Type 22×22 kW View station details
  * 1 Greenbridge Drive, Wilton NSW 2571 CCS 22×160 kW View station details
  * P8 Car Park, University of Wollongong, Northfields Avenue, Wollongong, Keiraville NSW 2500 CCS 23×360 kW CHAdeMO1×
[opened page] Internal Error ()
citeturn300view0 [wordlim: 200] Source: open({""ref_id"":""https://www.plugroo.com.au/nsw/cordeaux"",""lineno"":null}); Total lines: 1
L0: Failed to fetch https://www.plugroo.com.au/nsw/cordeaux: Cache miss"
TFNSW-0029,27,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,2622.0,OSM,OSM,,37.93703118299952,5,OSM:coordinate_500m,"""1 Little Walker Street, Casino NSW 2470"" EV charger",https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/,True,False,low,"Generic, unrelated, or weak address/charging evidence.",web evidence only; same-station identity not automatically proven,"[search] 1 Little Walker Street, Casino NSW 2470 - property.com.au (https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/)
citeturn301search0 [wordlim: 200] Crawled: last month; # 1 Little Walker Street Casino, NSW 2470 ... 1 Little Walker Street, Casino NSW 2470 is within the Richmond Valley local government area.

# 1 Little Walker Street Casino, NSW 2470

House

-

-

-

1681m²

Edit

This is my home

Suburb profile

## About the property

1 Little Walker Street is a house in Casino. It is located within Richmond Valley council, with no bushfire, flood, or heritage overlays detected. It is within the catchment of Casino Public School and Casino High School. It has 5G mobile coverage.

Image: PropTrack logo

## Property boundary

Explore the location and property boundary, including the measurements of fence lines and building area

Map type switcher

[Input]Default

[Input]Satellite

See on Google Map

Measurements are estimates only. Data provided under licence from © Geoscape Australia 2022. Copyright and Disclaimer Notice.

## Property features

The property details of 1 Little Walker St, Casino can help you make the decision if this property is right for you
[opened page] Internal Error ()
citeturn302view0 [wordlim: 200] Source: open({""ref_id"":""https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/"",""lineno"":null}); Total lines: 1
L0: Failed to fetch https://www.property.com.au/nsw/casino-2470/little-walker-st/1-pid-11965302/: Error fetching"
TFNSW-0052,50,,"10 Brookfield Road, Minto NSW 2566",Evie Networks,2566.0,OSM,OSM,,5.603513344119049,4,OSM:coordinate_500m,"""10 Brookfield Road, Minto NSW 2566"" EV charger",https://mintomall.com.au/,True,True,high,Opened page contains an address-level charging signal.,web evidence only; same-station identity not automatically proven,"[search] Shop at Minto Mall | Minto Mall (https://mintomall.com.au/)
citeturn303search0 [wordlim: 200] Published: 4.8 years ago; Crawled: today; Return And Earn Has A New Location At Minto! ... Evie EV Electric Vehicle Charging ... 10 Brookfield Rd Minto NSW 2566
--------------------------------------------------------------------------------
EV Charging Stations Menangle – Find Chargers Near You | Plugroo (https://www.plugroo.com.au/nsw/menangle)
citeturn303search1 [wordlim: 200] Crawled: 3 weeks ago;   * 10 Brookfield Road, Minto NSW 2566 CCS 23×75 kW CHAdeMO1×63 kW View station details ... Plugroo helps Menangle EV drivers avoid stale charger directories by combining operator data with verified community reports, so station status, access rules and pricing are easier to check before you arrive.
--------------------------------------------------------------------------------
EV Charging Stations Kentlyn – Find Chargers Near You | Plugroo (https://www.plugroo.com.au/nsw/kentlyn)
citeturn303search2 [wordlim: 200] Crawled: yesterday;   * 10 Brookfield Road, Minto NSW 2566 CCS 23×75 kW CHAdeMO1×63 kW View station details ... Plugroo helps Kentlyn EV drivers avoid stale charger direct
[opened page] Shop at Minto Mall | Minto Mall (https://mintomall.com.au/)
citeturn304view0 [wordlim: 200] Crawled: today; Content type: text/html; Source: open({""ref_id"":""https://mintomall.com.au/"",""lineno"":null}); Total lines: 167
L0:   * cite0†Stores L1:   * cite1†Centre Info L2:   * cite2†What’s On L3:   * cite3†Contact Us L4: 
L5: Open until
L6: 9am-5:30pm today
L7: 
L8: Woolworths
L9: 
L10: Daily 7am-10pm
L11: 
L12: Kmart
L13: 
L14: Mon-Fri: 8am-10pm
L15: Sat & Sun: 8am-8pm
L16: 
L17: [Input: Search...][Input]
L18: ## What’s On at Minto Mall
L19: 
L20: cite4†Build a Bear Workshops at Minto Mall L21: 
L22: cite5†Torque Town Fun at Minto Mall L23: 
L24: cite6†Shop for Fuel is Back at Minto Mall! L25: 
L26: cite7†Congratulations to Rebecca, Our Winner L27: 
L28: cite8†Mother’s Day High Tea 2026 L29: 
L30: cite9†MRI Now at South West Radiology L31: 
L32: cite10†Australia Post Services L33: 
L34: cite11†Fresh Food Frenzy L35: 
L36: cite12†The Home of Fresh Food L37: 
L38: cite13†Say hello to your new favourite dining destination… FLAVOUR LANE! L39: 
L40: cite14†Direct to Boot Your Minto Mall-Favourites L41: cite15†Return And Earn Has A New Locati"
TFNSW-0055,53,,"10 Elizabeth Street, Bathurst NSW 2795",Evie Networks,2795.0,OSM,OSM,,6.032640566244588,5,OSM:coordinate_500m,"""10 Elizabeth Street, Bathurst NSW 2795"" EV charger",https://plugroo.com.au/location/evie-networks-nsw-bathurst-10-elizabeth-street,True,False,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,"[search] Evie Networks EV Charger Bathurst, NSW – 150kW DC | Plugroo (https://plugroo.com.au/location/evie-networks-nsw-bathurst-10-elizabeth-street)
citeturn305search0 [wordlim: 200] Crawled: today; 10 Elizabeth Street, Bathurst NSW 2795

# 10 Elizabeth Street Parking – Bathurst

10 Elizabeth Street, Bathurst NSW 2795

  * Evie Networks
  * ·3× CCS 2 · 1× CHAdeMO
  * ·150 kW
  * ·$0.82

### Live status

Operational Open now

No recent check-ins — let us know how it goes

Confidence
    50/100 · Medium

Last verified
    No check-ins yet

Bays
    ? of 4 available

0 successful and 0 failed check-ins in the last 14 days.

### Key facts

Connectors
    3× CCS 2 · 1× CHAdeMO 4 plugs

Max power
    150 kW

Price
    $0.82

Network
    Evie Networks

Opening hours
    Open 24 hours

### Plug and Cost

Image: CHAdeMO

CHAdeMO

63 kW

$0.82

1 plug

$0.82

4a 4a

Image: CCS 2

CCS 2

150 kW

$0.82

3 plugs

$0.82

4a 4a

### How to find

Hard to find? Help others by editing.

### Recent Check-in & Review

What drivers reported after charging here.

Check in on the map

No check-ins yet. Check in after you charge to help other drivers.

### Open 24 hours

Sunday Open 24 hours

### Is 10 Elizabe
[opened page] Evie Networks EV Charger Bathurst, NSW – 150kW DC | Plugroo (https://plugroo.com.au/location/evie-networks-nsw-bathurst-10-elizabeth-street)
citeturn306view0 [wordlim: 200] Crawled: last month; Content type: text/html; Source: open({""ref_id"":""https://plugroo.com.au/location/evie-networks-nsw-bathurst-10-elizabeth-street"",""lineno"":null}); Total lines: 215
L0: cite0†Open app†apps.apple.com L1: 
L2:   1. cite1†Australia L3:   2. /cite2†NSW L4:   3. /cite3†Bathurst L5:   4. /10 Elizabeth Street Parking – Bathurst
L6: 
L7: # 10 Elizabeth Street Parking – Bathurst
L8: 
L9: 10 Elizabeth Street, Bathurst NSW 2795
L10: 
L11:   * Evie Networks
L12:   * ·3× CCS 2 · 1× CHAdeMO
L13:   * ·150 kW
L14:   * ·$0.82
L15: 
L16: cite4†Open Plugroo map L17: 
L18: cite5†Image: 10 Elizabeth Street Parking – Bathurst†files.plugroo.com.au [Button: 1 photos]
L19: 
L20: © cite6†Mapbox†www.mapbox.com © cite7†OpenStreetMap†www.openstreetmap.org cite8†Improve this map†apps.mapbox.com L21: ### Live status
L22: 
L23: Operational Open now
L24: 
L25: No recent check-ins — let us know how it goes
L26: 
L27: Confidence
L28:     50/100 · Medium
L29: 
L30: Last verified
L31:     No check-in"
TFNSW-0068,66,,"105 Station Road, Sydney NSW 2147",Ampol,2147.0,OSM,OSM,,4.943991220314163,4,OSM:coordinate_500m,"""105 Station Road, Sydney NSW 2147"" EV charger",https://ev-charging-stations.com.au/chargers/ampcharge-105-station-road-sydney-nsw-2147,True,True,high,Opened page contains an address-level charging signal.,web evidence only; same-station identity not automatically proven,"[search] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/ampcharge-105-station-road-sydney-nsw-2147)
citeturn307search0 [wordlim: 200] Crawled: last week; 105 Station Road, Sydney, NSW, 2147 ... 105 Station Road, Sydney, NSW, 2147
--------------------------------------------------------------------------------
EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/nsw/toongabbie)
citeturn307search1 [wordlim: 200] Crawled: 2 days ago; # EV charging in Toongabbie, NSW ... [Button: Nearest][Button: Fastest charger][Button: Most connectors] ... 105 Station Road, Sydney, NSW, 2147
--------------------------------------------------------------------------------
EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/nsw/seven-hills)
citeturn307search2 [wordlim: 200] Crawled: 4 days ago; # EV charging in Seven Hills, NSW ... [Button: Nearest][Button: Fastest charger][Button: Most connectors] ... 105 Station Road, Sydney, NSW, 2147
--------------------------------------------------------------------------------
EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/nsw/winston-hills)
citeturn307search3 [wo
[opened page] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/ampcharge-105-station-road-sydney-nsw-2147)
citeturn308view0 [wordlim: 200] Crawled: 5 months ago; Content type: text/html; Source: open({""ref_id"":""https://ev-charging-stations.com.au/chargers/ampcharge-105-station-road-sydney-nsw-2147"",""lineno"":null}); Total lines: 99
L0: cite19†Image: EV Charging Stations L1: 
L2: cite0†Find Stations cite1†Journey Planner cite2†Guides cite3†About cite4†Contact L3: 
L4: cite5†Near Me cite6† Sign in  L5: 
L6: AmpCharge
L7: 
L8: # AmpCharge
L9: 
L10: 105 Station Road, Sydney, NSW, 2147 2 connectors  150 kW max
L11: 
L12: cite1† Plan Journey  L13: 
L14: Connectors
L15: 
L16: 2
L17: 
L18: 2 types
L19: 
L20: Fastest charger
L21: 
L22: 150 kW
L23: 
L24: max output
L25: 
L26: Pricing
L27: 
L28: Not listed
L29: 
L30: per kWh when listed
L31: 
L32: ## Connectors at this station
L33: 
L34: Type, max power and pricing where available.
L35: 
L36: 2 types
L37: 
L38: CHAdeMO
L39: 
L40: 1 port 120 kW
L41: 
L42: CCS
L43: 
L44: 1 port 150 kW
L45: 
L46: Sponsored
L47: 
L48: Ad
L49: ## Map & location
L50: 
L51: 105 Station Road, Sydney, NSW, 2147
L52: 
L53: cite"
TFNSW-0137,135,,"13-17 Princes Highway, Albion Park Rail NSW 2527",Evie Networks,2527.0,OSM,OSM,,176.350306990109,5,OSM:coordinate_500m,"""13-17 Princes Highway, Albion Park Rail NSW 2527"" EV charger",https://ev-charging-stations.com.au/chargers/chargefox-13-17-princes-highway-albion-park-rail-nsw-2527,True,True,high,Opened page contains an address-level charging signal.,web evidence only; same-station identity not automatically proven,"[search] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/chargefox-13-17-princes-highway-albion-park-rail-nsw-2527)
citeturn309search0 [wordlim: 200] Crawled: 2 months ago; 13-17 Princes Highway, Albion Park Rail, NSW, 2527 ... 13-17 Princes Highway, Albion Park Rail, NSW, 2527

ChargeFox

# Chargefox Charging Station

13-17 Princes Highway, Albion Park Rail, NSW, 2527

Plan Journey Get Directions

Available now

—

Connectors

2

1 type

Max speed

50 kW


## Connectors at this station

Type, max power and live availability

1 type

CCS 2

CCS

50 kW 2 ports Fast DC

## Station info

Access, parking & amenities

Google rating

2.5 ★ (2)

Updated 1591h ago

Sponsored

Ad

## Map & location

13-17 Princes Highway, Albion Park Rail, NSW, 2527

Get directions in Google Maps

Image: ChargeFox logo

ChargeFox

Chargefox Charging Station

Wollongong, NSW

2.5(2 reviews)Google

Save Maps

## Is this information accurate?

Help us keep this listing up to date

Looks correct Report an issue

Do you manage this charger?

Claim to keep details accurate and respond to feedback

Sign in to claim--------------------------------------------------------------------------------

[opened page] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/chargefox-13-17-princes-highway-albion-park-rail-nsw-2527)
citeturn310view0 [wordlim: 200] Crawled: 5 months ago; Content type: text/html; Source: open({""ref_id"":""https://ev-charging-stations.com.au/chargers/chargefox-13-17-princes-highway-albion-park-rail-nsw-2527"",""lineno"":null}); Total lines: 95
L0: cite19†Image: EV Charging Stations L1: 
L2: cite0†Find Stations cite1†Journey Planner cite2†Guides cite3†About cite4†Contact L3: 
L4: cite5†Near Me cite6† Sign in  L5: 
L6: ChargeFox
L7: 
L8: # ChargeFox
L9: 
L10: 13-17 Princes Highway, Albion Park Rail, NSW, 2527 2 connectors  50 kW max
L11: 
L12: cite1† Plan Journey  L13: 
L14: Connectors
L15: 
L16: 2
L17: 
L18: 1 type
L19: 
L20: Fastest charger
L21: 
L22: 50 kW
L23: 
L24: max output
L25: 
L26: Pricing
L27: 
L28: Not listed
L29: 
L30: per kWh when listed
L31: 
L32: ## Connectors at this station
L33: 
L34: Type, max power and pricing where available.
L35: 
L36: 1 type
L37: 
L38: CCS
L39: 
L40: 2 ports 50 kW
L41: 
L42: Sponsored
L43: 
L44: Ad
L45: ## Map & location
L46: 
L47: 13-17 Princes Highway, Albion Park Rail, NSW, 2527
L48:"
TFNSW-0155,153,,"140 Denison Street, Sydney NSW 2036",Exploren,2036.0,Charge@Large,Charge@Large,"Charge@Large:140-148 Denison St, Hillsdale, NSW 2036",0.0898879959473817,4,Charge@Large:coordinate_500m,"""140 Denison Street, Sydney NSW 2036"" EV charger",https://ev-charging-stations.com.au/chargers/nsw/eastgardens,True,True,high,Opened page contains an address-level charging signal.,web evidence only; same-station identity not automatically proven,"[search] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/nsw/eastgardens)
citeturn311search0 [wordlim: 200] Crawled: last week; # EV charging in Eastgardens, NSW ... [Button: Nearest][Button: Fastest charger][Button: Most connectors] ... 140 Denison Street, Sydney, NSW, 2036

Search Results

# EV charging in Eastgardens, NSW

945 stations found Live availability Showing 1–10 of 945

[Input: Eastgardens, NSW]

Sort

[Button: Nearest][Button: Fastest charger][Button: Most connectors]

All DC Fast · 50+ kW Ultra-fast · 150+ kW Available now

EVUp

## EVUp

Moore St, Sydney, NSW, 2019

0.27 km

Type 2 22 kW

DirectionsView details

Exploren

## Exploren Charging Station

33 Smith Street, Sydney, NSW, 2036

0.29 km

Type 2 22 kW

DirectionsView details

Wevolt

## Wevolt Charging Station

9 Oscar Place, Sydney, NSW, 2036

0.33 km

Type 2 13 kW

DirectionsView details

Sponsored

Ad

Exploren

## Exploren Charging Station

140 Denison Street, Sydney, NSW, 2036

0.35 km

CCS 120 kW

DirectionsView details

ChargeFox

## Chargefox Charging Station

9 Studio Dr, Sydney, NSW, 2036

0.59 km

Type 2 22 kW

DirectionsView details
---------------------------------------------
[opened page] EV Charging Stations Finder (https://ev-charging-stations.com.au/chargers/nsw/eastgardens)
citeturn312view0 [wordlim: 200] Crawled: 3 days ago; Content type: text/html; Source: open({""ref_id"":""https://ev-charging-stations.com.au/chargers/nsw/eastgardens"",""lineno"":null}); Total lines: 197
L0: cite0†iframe†www.googletagmanager.com L1: 
L2: Search Results
L3: 
L4: # EV charging in Eastgardens, NSW
L5: 
L6: 945 stations found Live availability Showing 1–10 of 945
L7: 
L8: [Input: Eastgardens, NSW]
L9: 
L10: Sort
L11: 
L12: [Button: Nearest][Button: Fastest charger][Button: Most connectors]
L13: 
L14: All DC Fast · 50+ kW Ultra-fast · 150+ kW Available now
L15: 
L16: EVUp
L17: 
L18: ## EVUp
L19: 
L20: Moore St, Sydney, NSW, 2019
L21: 
L22: 0.27 km
L23: 
L24: Type 2 22 kW
L25: 
L26: cite1†Directions†www.google.com cite2†View details L27: 
L28: Exploren
L29: ## Exploren Charging Station
L30: 
L31: 33 Smith Street, Sydney, NSW, 2036
L32: 
L33: 0.29 km
L34: 
L35: Type 2 22 kW
L36: 
L37: cite3†Directions†www.google.com cite4†View details L38: 
L39: Wevolt
L40: 
L41: ## Wevolt Charging Station
L42: 
L43: 9 Oscar Place, Sydney, NSW, 2036
L44: 
L45: 0.33 km
L46: 
L47: Type 2 1"
TFNSW-0197,195,,"15C Mitchell Street, Bourke NSW 2840",NRMA Electric,2453.0,OSM,OSM,,29.973408190983168,5,OSM:coordinate_500m,"""15C Mitchell Street, Bourke NSW 2840"" EV charger",https://au.bold.pro/my/kayla-hines85,True,False,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,"[search] Kayla Hines - personal care assistant caseworker - Birrang Enterprise - Bold.pro (https://au.bold.pro/my/kayla-hines85)
citeturn313search0 [wordlim: 200] Crawled: last month; 15c mitchell street ,Bourke NSW 2840
  * Fluid Measurement
  * Patient Care and Safety
  * Medical Terminology Knowledge
  * Patient Dressing
  * Collecting Specimens
  * Grooming and Bathing Assistance
  * Bed Transfers
  * Wound Care
  * Quality Patient Care

## Certification

Cert III individual support aged care

manual handling

senior first aid CPR and basic life support

Aboriginal mental health first aider

certification in domestic family violence prevention

NSW full driver license

medication assistant

wound support

## Additional Information

Work References

Alison Brodie

Trainer Assessor royal college of healthcare

Belmont care rothwell

mail- a.brodie59@yahoo.com.au

Ph 0402261531

Keren Barker

program manger Birrang enterprises

12 darling street, Bourke NSW 284

email-bff2@birrang.com.au

PH: 0437477339

Mick Mcdowell

cooee for coffee catholic care

15c mitchell street ,Bourke NSW 2840

email- mmcdowell@ccwf.org.au

ph:(02)68721551

personal recreance

Amanda McGoven

catholic care fam
[opened page] Internal Error ()
citeturn314view0 [wordlim: 200] Source: open({""ref_id"":""https://au.bold.pro/my/kayla-hines85"",""lineno"":null}); Total lines: 1
L0: Failed to fetch https://au.bold.pro/my/kayla-hines85: Cache miss"
TFNSW-0212,210,,"169 Willoughby Road, Sydney NSW 2065",BP,2065.0,Charge@Large,Charge@Large,"Charge@Large:1 Plunkett St, New South Wales, St Leonards, NSW 2065",468.2657578671068,4,Charge@Large:coordinate_500m,"""169 Willoughby Road, Sydney NSW 2065"" EV charger",https://www.chargeroute.au/ev-chargers/nsw/sydney,True,True,medium,"Charging evidence exists, but address/page confirmation is incomplete.",web evidence only; same-station identity not automatically proven,"[search] EV Charging Stations in Sydney NSW | ChargeRoute (https://www.chargeroute.au/ev-chargers/nsw/sydney)
citeturn315search0 [wordlim: 200] Crawled: yesterday; BP — Sydney Sydney, NSW · 01 Wallgrove Road, Sydney, 2766 DCup to 150 kWBPScore 31 Operational (per source)Chargefox — Sydney Sydney, NSW · 1 Balfour St, Sydney, 2070 ACup to 22 kWChargefoxScore 26.5 Operational (per source)Tesla — Sydney Sydney, NSW · 1 Bay St, Sydney, 2037 DCup to 130 kWTeslaScore 31.5 Operational (per source)Chargefox — Sydney Sydney, NSW · 1 Bradleys Head Rd, Sydney, 2088 ACup to 22 kWChargefoxScore 22.5 Operational (per source)Chargefox — Sydney Sydney, NSW · 1 Bradleys Head Rd, Sydney, 2088 ACup to 22 kWChargefoxScore 22.5 Operational (per source)AXCharge — Sydney Sydney, NSW · 1 Cathedral Sq, Sydney, 2000 ACup to 22 kWAXChargeScore 24.5 Operational (per source)Tesla — Sydney Sydney, NSW · 1 Dalgal Way, Sydney, 2037 ACup to 22 kWTeslaScore 24.5 Operational (per source)Tesla — Sydney Sydney, NSW · 1 Dalgal Way, Sydney, 2037 DCup to 250 kWTeslaScore 31 Operational (per source)Everty — Sydney Sydney, NSW · 1 Eels Pl, Sydney, 2150 ACup to 22 kWEvertyScore 24.5 Operational (per source)Tesla — Sydney Sydney, N
[opened page] EV Charging Stations in Sydney NSW | ChargeRoute (https://www.chargeroute.au/ev-chargers/nsw/sydney)
citeturn316view0 [wordlim: 200] Crawled: last week; Content type: text/html; Source: open({""ref_id"":""https://www.chargeroute.au/ev-chargers/nsw/sydney"",""lineno"":null}); Total lines: 40
L0: cite0†CRChargeRoute.au L1: 
L2: cite1†Routes L3: 
L4:   1. cite0†Home L5:   2. /cite2†EV chargers L6:   3. /cite3†New South Wales L7:   4. /Sydney
L8: # EV charging stations in Sydney NSW
L9: 
L10: 398 sites · 398 labelled operational by source · max listed power 400 kW"
