source,external_id,tfnsw_row_count,tfnsw_unique_ids,tfnsw_table_rows,source_indices,tfnsw_addresses,tfnsw_coordinates,match_distances_m,match_methods
Charge@Large,15d06bf5-6b4a-425d-9312-bae4b17cc22b-1742,2,TFNSW-0719;TFNSW-1696,719;1696,717;1694,"8 Federation Road, Sydney NSW 2050 || 8 Federation Road, Camperdown NSW 2050","-33.89360765,151.1783463 || -33.8934749,151.178294",0.06388252060370135;15.46654507599276,coordinate_and_fuzzy_address;coordinate_and_fuzzy_address
Charge@Large,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2087,2,TFNSW-0361;TFNSW-1088,361;1088,359;1086,"241 Waterworth Drive, Mount Annan NSW 2567 || 241 Waterworth Drive, Mount Annan NSW 2567","-34.049425,150.7603383 || -34.0495366,150.7601125",94.89918508645724;77.36979052983494,coordinate_500m;coordinate_500m
Charge@Large,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2578,2,TFNSW-0518;TFNSW-0543,518;543,516;541,"4 Tindall Street, Sydney NSW 2560 || 42 Camden Road, Sydney NSW 2560","-34.07206311,150.8051261 || -34.07161666,150.8059289",93.01746043736813;4.337400532379895,coordinate_500m;coordinate_500m
OCM,121552,2,TFNSW-1824;TFNSW-1825,1824;1825,1822;1823,"1 Kendall Avenue, Bathurst NSW 2795 || 1 Kendall Avenue, Bathurst NSW 2795","-33.41901006,149.5867568 || -33.41910215,149.5867528",15.464999093489684;10.488644532410708,coordinate_500m;coordinate_500m
OCM,272619,2,TFNSW-0818;TFNSW-1703,818;1703,816;1701,"Bunnerong Road, Sydney NSW 2036 || 801-899R Bunnerong Road, Chifley NSW 2036","-33.97296101,151.2365656 || -33.9729613,151.2365649",86.93644661352941;86.90984825108225,coordinate_and_fuzzy_address;coordinate_and_fuzzy_address
OCM,272624,2,TFNSW-0100;TFNSW-0101,100;101,98;99,"1183-1187 The Horsley Drive, Sydney NSW 2164 || 1183-1187 The Horsley Drive, Wetherill Park NSW 2164","-33.84986891,150.8978248 || -33.8505352,150.8988605",79.77280383386758;44.85942773337585,coordinate_and_fuzzy_address;coordinate_and_fuzzy_address
OCM,273428,2,TFNSW-0869;TFNSW-0870,869;870,867;868,"Hassall Street, Sydney NSW 2142 || Hassall Street & James Rouse Drive, Sydney NSW 2142","-33.81961366,151.0213463 || -33.81968873,151.0213023",76.19672279269362;85.48107149018692,coordinate_and_fuzzy_address;coordinate_and_fuzzy_address
OCM,274056,2,TFNSW-0188;TFNSW-0826,188;826,186;824,"153 Coreen Avenue Cnr Castlereagh Road, Penrith NSW 2750 || Castlereagh Road, Sydney NSW 2750","-33.7428103,150.6929292 || -33.74298103,150.69296",25.03972710725189;5.861006075066234,coordinate_and_fuzzy_address;coordinate_500m
OSM,10807470662,2,TFNSW-0869;TFNSW-0870,869;870,867;868,"Hassall Street, Sydney NSW 2142 || Hassall Street & James Rouse Drive, Sydney NSW 2142","-33.81961366,151.0213463 || -33.81968873,151.0213023",14.253599404184122;8.757460667750133,coordinate_500m;coordinate_500m
OSM,10863588015,2,TFNSW-0859;TFNSW-0860,859;860,857;858,"Gardeners Road, Sydney NSW 2020 || Gardeners Road, Sydney NSW 2020","-33.92049354,151.1907497 || -33.92059364,151.1914745",36.39240285679664;31.418634700963178,coordinate_500m;coordinate_500m
OSM,10924895189,2,TFNSW-0188;TFNSW-0826,188;826,186;824,"153 Coreen Avenue Cnr Castlereagh Road, Penrith NSW 2750 || Castlereagh Road, Sydney NSW 2750","-33.7428103,150.6929292 || -33.74298103,150.69296",20.708028349762277;1.8142836889794594,coordinate_500m;coordinate_500m
OSM,11048936553,2,TFNSW-0100;TFNSW-0101,100;101,98;99,"1183-1187 The Horsley Drive, Sydney NSW 2164 || 1183-1187 The Horsley Drive, Wetherill Park NSW 2164","-33.84986891,150.8978248 || -33.8505352,150.8988605",80.52999581181346;45.48623557292612,coordinate_500m;coordinate_500m
OSM,11689937303,2,TFNSW-0340;TFNSW-0341,340;341,338;339,"2260 Camden Valley Way, Sydney NSW 2170 || 2260 Camden Valley Way, Sydney NSW 2170","-33.95800605,150.8864635 || -33.9581552,150.8866296",7.777506602184011;19.03298201099214,coordinate_500m;coordinate_500m
OSM,12686156645,2,TFNSW-0361;TFNSW-1088,361;1088,359;1086,"241 Waterworth Drive, Mount Annan NSW 2567 || 241 Waterworth Drive, Mount Annan NSW 2567","-34.049425,150.7603383 || -34.0495366,150.7601125",42.561734788781095;18.649731757976735,coordinate_500m;coordinate_500m
OSM,12968478808,2,TFNSW-0255;TFNSW-1051,255;1051,253;1049,197-215 Condamine Street Balgowlah NSW 2093 || 197-215 Condamine Street Balgowlah NSW 2093,"-33.7930342,151.2641426 || -33.7929122,151.2645298",49.624834883668235;36.79095774359801,coordinate_500m;coordinate_500m
OSM,13059026685,2,TFNSW-0933;TFNSW-1648,933;1648,931;1646,"Pole Lane, Sydney NSW 2065 || 65 Hume Street, Crows Nest NSW 2065","-33.82462167,151.1997668 || -33.8243185,151.2002301",20.925587158806383;69.58608944528191,coordinate_500m;coordinate_500m
OSM,13073547942,2,TFNSW-0512;TFNSW-1528,512;1528,510;1526,"3A Cowell Street, Sydney NSW 2111 || 3A Cowell Street, Gladesville NSW 2111","-33.83281286,151.1277918 || -33.8329216,151.1276887",20.06767229245546;30.994900716973856,coordinate_500m;coordinate_500m
OSM,13206154678,2,TFNSW-0747;TFNSW-1743,747;1743,745;1741,"872 Anzac Parade, Sydney NSW 2035 || 924 Anzac Parade, Maroubra NSW 2035","-33.94314819,151.2396466 || -33.9427694,151.2401202",14.03721535211583;60.32436240780029,coordinate_500m;coordinate_500m
OSM,13206176474,2,TFNSW-0643;TFNSW-1623,643;1623,641;1621,"594 Anzac Parade, Sydney NSW 2032 || 592 Anzac Parade, Kingsford NSW 2032","-33.92659564,151.2313293 || -33.9260318,151.2312658",16.777185865798742;79.00052403396352,coordinate_500m;coordinate_500m
OSM,6489744914,2,TFNSW-1824;TFNSW-1825,1824;1825,1822;1823,"1 Kendall Avenue, Bathurst NSW 2795 || 1 Kendall Avenue, Bathurst NSW 2795","-33.41901006,149.5867568 || -33.41910215,149.5867528",14.64198008120703;4.41217150808019,coordinate_500m;coordinate_500m
OSM,6965143040,2,TFNSW-0168;TFNSW-0228,168;228,166;226,"149 Alison Road, Sydney NSW 2031 || 18 Silver Street, Sydney NSW 2031","-33.91307612,151.2387948 || -33.91374579,151.2390611",86.42938762434711;8.469777001577025,coordinate_500m;coordinate_500m
OSM,9215252226,2,TFNSW-0529;TFNSW-1768,529;1768,527;1766,"401 Cabramatta Road W, Cabramatta NSW 2166 || Cnr Cumberland Highway & Cabramatta Road W, Cabramatta NSW 2166","-33.898778,150.919791 || -33.8993725,150.9191077",18.639774398002306;93.99110950689177,coordinate_500m;coordinate_500m
OSM,9491233549,3,TFNSW-0203;TFNSW-0393;TFNSW-0754,203;393;754,201;391;752,"16 Oaks Avenue, Sydney NSW 2099 || 27-33 Oaks Avenue, Dee Why NSW 2099 || 888 Pittwater Road, Sydney NSW 2099","-33.75370175,151.287 || -33.75442135,151.2873331 || -33.75321026,151.2873604",3.5153790404184977;82.75841320779328;67.30148312833175,coordinate_500m;coordinate_500m;coordinate_500m
