source_index,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_attributes,osm_all_status,osm_all_method,osm_all_distance_m,osm_all_address_score,osm_all_id,osm_all_address,osm_all_attributes,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_attributes,chargelarge_all_status,chargelarge_all_method,chargelarge_all_distance_m,chargelarge_all_address_score,chargelarge_all_id,chargelarge_all_address,chargelarge_all_attributes,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_attributes,combined_broad_status,combined_dc_indicated_status
1,,"01 Wallgrove Road, Sydney NSW 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766.0,Existing Fast Chargers,accepted,coordinate_500m,65.13844654951765,0.6067567567567569,272521,"BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766","{""charger_capacities"": ""75 kW"", ""number_of_plugs"": 2.0, ""operator"": ""BP Pulse (AU)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
2,,"1 - 7 Ross Street, Wilcannia NSW 2836",NRMA Electric,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350.0,TfNSW Regional,accepted,coordinate_500m,29.225432401106143,0.6072327044025158,170824,"82 Marsh Street, Armidale, New South Wales, 2350","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,29.526628596528386,0.0,8133502030,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,accepted
5,,"1 Bay Street, Sydney NSW 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,accepted,coordinate_500m,19.442848782107593,0.7928571428571429,311308,"1 Bay Street, Broadway, NSW, 2007","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 3.0, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,66.31887271012747,0.0,5438383393,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 8, ""opening_hours"": ""24/7"", ""operator"": ""Tesla"", ""osm_last_updated"": ""2026-03-29"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,307.9174714299631,0.4035294117647059,d1cbdd86-205d-4538-b287-34032bf74788-ibxdE7VEtpT7LdkriyIUSgVk-paThlG_iOPe,"2 Buckland St, Chippendale, NSW 2008","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
6,,"1 Bells Boulevard, Kingscliff NSW 2487",Evie Networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched
11,,"1 Dalgal Way, Sydney NSW 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,26.33719187131462,0.0,6965052432,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,26.33719187131462,0.0,6965052432,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,448.6645969500187,0.10169602087410307,baaffa39-0adb-422e-a7bf-4b391d232b5d-110,"266 Johnston St, Annandale NSW 2038, Australi, Annandale, NSW 2038","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Charging\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
16,,"1 Frederick Street, Sydney NSW 2064",Evie Networks,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064.0,Existing Fast Chargers,accepted,coordinate_500m,157.01557144383443,0.35,272613,"65 Reserve Road, St Leonards, New South Wales, 2065","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,coordinate_500m,92.58060399570518,0.6590909090909092,ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-82,"12 Frederick St, St Leonards NSW 2065, Austra, St Leonards, NSW 2065","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,coordinate_500m,480.3922950434038,0.32407407407407407,393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"18/39 Herbert Street, St Leonards, NSW 2065","{""charger_capacities"": 25.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""CCS2|CHAdeMO"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,accepted
19,,"1 Greenbridge Drive, Wilton NSW 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,2.9235762085473587,0.0,12624993541,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,2.9235762085473587,0.0,12624993541,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
23,,"1 Ingham Drive, Casula NSW 2170",Evie Networks,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170.0,ARENA - Driving the Nation,accepted,coordinate_and_fuzzy_address,125.52341782379166,1.0,272688,"1 Ingham Dr, Casula, New South Wales, 2170","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,0.9333057450461221,0.0,9863034303,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,0.9333057450461221,0.0,9863034303,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
27,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622.0,TfNSW Regional,unmatched,unmatched,,,,,{},accepted,coordinate_500m,37.93703118299952,0.0,12644131941,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,37.93703118299952,0.0,12644131941,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
35,,"1 Park Street, Sydney NSW 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,5.7225965348745085,0.9511111111111111,192929,"1 Park St, Mona Vale, NSW, 2103","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Jolt"", ""plug_types"": ""CHAdeMO; CCS (Type 2)""}",accepted,coordinate_500m,15.388839462195333,0.0,9704706490,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",accepted,coordinate_500m,15.388839462195333,0.0,9704706490,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
