OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_number_of_plugs,external_charger_capacity,external_opening_hours,external_latitude,external_longitude,augmentation_review_reason
,,", Muswellbrook, 2333",EVUp,2,AC,22 kW,-32.26224229,150.8901391,Muswellbrook Shire Council,2333,Existing Destination Chargers,review,coordinate_candidate,0.5,True,876.0,39.11604998051754,39.11604998051754,335.25976671490935,Peclet local snapshot (experimental),DC184,Muswellbrook Marketplace charger,"Hill Street, Muswellbrook NSW 2333",EVUp,Type 2,2.0,kW,Open 24/7,-32.26199832,150.8904388,nearest=39.116m; gap=335.260m; manual confirmation required
,,"01 Wallgrove Road, Sydney, 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,1449.0,2.23741939185987,2.23741939185987,1004.6205131219426,Peclet local snapshot (experimental),FC60,BP Eastern Creek charger,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",bp pulse,Type 2,2.0,75 kW,Open 24/7,-33.81100481,150.8496208,
,,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional,accepted,coordinate_exact,1.0,False,1251.0,0.0,0.0,27.11425077641018,Peclet local snapshot (experimental),AK879,Ross St Wilcannia charger,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,,4.0,50 kW,,-30.5118739,151.669395,
,,"1 Balfour St, Sydney, 2070",Chargefox,7,AC,22 kW,-33.77410115,151.167035,Ku-ring-gai Council,2070,Existing Destination Chargers,review,coordinate_candidate,0.5,True,93.0,309.85632291511536,309.85632291511536,925.9249684387231,Peclet local snapshot (experimental),DC359,Lindfield Village Green Underground Car Park charger,"Lindfield Village Green, 10 Tryon Rd, Lindfield NSW 2070, Australia",,Type 2,15.0,kW,Open 24/7,-33.775075,151.170176,nearest=309.856m; gap=925.925m; manual confirmation required
,,"1 Bay Ln, Byron Bay, 2481",Tesla,2,AC,19 kW,-28.64181886,153.6136326,Byron Shire Council,2481,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,15.0,0.11212984320886656,0.11212984320886656,103.87258606799523,Peclet local snapshot (experimental),DC43,Beach Hotel Resort charger,"1 Bay Ln, Byron Bay NSW 2481, Australia",Tesla Destination,Tesla,2.0,3 kW,Open 24/7,-28.641818,153.613632,
,,"1 Bay St, Sydney, 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,review,ambiguous_exact_address,0.5,True,261.0,57.31765060090469,57.31765060090469,9.862854331777264,Peclet local snapshot (experimental),FC236,Broadway Shopping Centre charger,"1 Bay St, Glebe NSW 2037, Australia",Tesla Supercharge,Type 2; J-1772,16.0,120 kW,Open 24/7,-33.882995,151.194332,nearest=57.318m; gap=9.863m; manual confirmation required
,,"1 Bells Blvd, Kingscliff, 2487",Evie,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,review,coordinate_candidate,0.5,True,432.0,128.12858779099884,128.12858779099884,1695.8787854673758,Peclet local snapshot (experimental),DC52,Mantra on Salt Beach Kingscliff charger,"9 Gunnamatta Ave, Kingscliff NSW 2487, Australia",Chargefox,Type 2,2.0,10 kW,,-28.27803959,153.577293,nearest=128.129m; gap=1695.879m; manual confirmation required
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84103708,151.2422452,Mosman Municipal Council,2088,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,991.0,64.83569716097516,64.83569716097516,1037.0905938150931,Peclet local snapshot (experimental),DC754,Taronga Zoo Sydney (2) charger,"1 Bradleys Head Rd, Mosman NSW 2088, Australia",Chargefox,Type 2,4.0,22 kW,,-33.841458,151.242731,
,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84141846,151.2426306,Mosman Municipal Council,2088,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,991.0,10.262137879048746,10.262137879048746,1144.9799947723968,Peclet local snapshot (experimental),DC754,Taronga Zoo Sydney (2) charger,"1 Bradleys Head Rd, Mosman NSW 2088, Australia",Chargefox,Type 2,4.0,22 kW,,-33.841458,151.242731,
,,"1 Cathedral Sq, Sydney, 2000",AXCharge,3,AC,22 kW,-33.87136841,151.2137407,"Sydney, Council of the City of",2000,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1767.0,88.51083051668925,88.51083051668925,183.70600534233265,Peclet local snapshot (experimental),DC649,AXCharge St Cathedral Car Parking charger,"2 Cathedral St, Sydney NSW 2000, Australia",Noodoe EV,Type 2,3.0,kW,9am to 10pm,-33.87208294,151.2133182,nearest=88.511m; gap=183.706m; manual confirmation required
,,"1 Dalgal Way, Sydney, 2037",Tesla,2,AC,22 kW,-33.87637442,151.1776376,"Sydney, Council of the City of",2037,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,175.0,20.54317511731732,20.54317511731732,0.7153192424888246,Peclet local snapshot (experimental),DC815,Tramsheds Harold Park (1) charger,"1 Dalgal Way, Forest Lodge NSW 2037, Australia",Chargefox,Type 2,2.0,22 kW,,-33.876335,151.177855,nearest=20.543m; gap=0.715m; manual confirmation required
,,"1 Dalgal Way, Sydney, 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037,Existing Fast Chargers,review,ambiguous_exact_address,0.5,True,1882.0,20.0685948311779,20.0685948311779,2.692266400374148,Peclet local snapshot (experimental),FC249,Tramsheds Harold Park (2) charger,"1 Dalgal Wy, Forest Lodge NSW 2037, Australia",Tesla Supercharge,Type 2,4.0,250 kW,6am - 11pm for carpark,-33.87635779,151.177867,nearest=20.069m; gap=2.692m; manual confirmation required
,,"1 Eels Pl, Sydney, 2150",Everty,3,AC,22 kW,-33.8064585,151.0017477,"Parramatta, Council of the City of",2150,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,521.0,9.375806892952152,9.375806892952152,514.8873526559163,Peclet local snapshot (experimental),DC518,Parramatta Leagues Club charger,"1 Eels Place, Parramatta NSW 2150",Everty,Type 2,3.0,kW,9am - 6am,-33.80638252,151.0017037,
,,"1 Elizabeth St, Merimbula, 2548",Tesla,1,AC,8 kW,-36.89530635,149.9118809,Bega Valley Shire Council,2548,Existing Destination Chargers,review,coordinate_candidate,0.5,True,209.0,49.2138528513206,49.2138528513206,325.44462394205885,Peclet local snapshot (experimental),DC984,The Coast Resort Merimbula - Unit 2 charger,"13 Fishpen Rd, Merimbula NSW 2548, Australia",Tesla Destination,Tesla,1.0,8 kW,,-36.894914,149.912137,nearest=49.214m; gap=325.445m; manual confirmation required
,,"1 Ferguson Cres, Mittagong, 2575",Tesla,1,AC,22 kW,-34.44729434,150.4615586,Wingecarribee Shire Council,2575,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,187.0,55.94449197914559,55.94449197914559,428.6467118782471,Peclet local snapshot (experimental),DC849,The Fitzroy Inn charger,"1 Ferguson Cres, Mittagong NSW 2575, Australia",Tesla Destination,Tesla; Type 2,2.0,22 kW,,-34.447058,150.46102,
,,"1 Ferrers Rd, Sydney, 2766",Tesla,2,AC,22 kW,-33.80382587,150.8677297,Blacktown City Council,2766,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,119.0,0.11636919619997417,0.11636919619997417,252.00539113957166,Peclet local snapshot (experimental),DC524,Sydney Motorsport Park charger,"1 Ferrers Rd, Eastern Creek, NSW, Australia, NT 2766",Tesla Destination,Tesla,2.0,22 kW,,-33.803825,150.867729,
,,"1 Frederick St, Sydney, 2064",Evie,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers,review,coordinate_candidate,0.5,True,2008.0,102.5629773431679,102.5629773431679,51.98390606662839,Peclet local snapshot (experimental),HC2114,Frederick St St Leonards charger,"12 Frederick St
St Leonards NSW 2065
Australia",EVX,,2.0,22 kW,,-33.818,151.189,nearest=102.563m; gap=51.984m; manual confirmation required
,,"1 Friday Dr, Thredbo, 2625",Exploren,10,AC,22 kW,-36.50129634,148.3103774,Snowy Monaro Regional Council,2625,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1828.0,392.6260363763917,392.6260363763917,165.48172993904615,Peclet local snapshot (experimental),DC970,Thredbo P4 Car Park charger,"1 Friday Dr, Thredbo NSW 2625, Australia",Exploren,Type 2,8.0,22 kW,Open 24/7,-36.49934833,148.314041,
,,"1 Golf Club Rd, Deniliquin, 2710",Chargefox,4,AC,22 kW,-35.53652657,144.9742282,Edward River Council,2710,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,2029.0,63.31225663073368,63.31225663073368,571.9949287927268,Peclet local snapshot (experimental),HC2523,Golf Club Rd Deniliquin charger,"1 Golf Club Rd
Deniliquin NSW 2710
Australia",Chargefox,,4.0,AC,,-35.5369,144.9737,
,,"1 Greenbridge Dr, Wilton, 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1842.0,7264.9951713411765,7264.9951713411765,236.77301747497495,Peclet local snapshot (experimental),FC40,Ampol Foodary Pheasants Nest Southbound charger,"South Bound, Hume Hwy, Pheasants Nest NSW 2574, Australia",AmpCharge,Tesla; Type 2,9.0,150kW (300kW upgrade coming soon),Open 24/7,-34.28254012,150.6397707,nearest=7264.995m; gap=236.773m; manual confirmation required
,,"1 Hargreaves St, Wollongong, 2526",Exploren,4,AC,22 kW,-34.45151356,150.8428559,Wollongong City Council,2526,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1898.0,53.956955412680664,53.956955412680664,1695.6230895696585,Peclet local snapshot (experimental),HC2330,Hargreaves St Unanderra charger,"Hargreaves St
Unanderra NSW 2526
Australia",Exploren,,4.0,AC,,-34.4519,150.8425,nearest=53.957m; gap=1695.623m; manual confirmation required
,,"1 Hay St, Port Macquarie, 2444",Tesla,4,AC,22 kW,-31.42837342,152.9087618,Port Macquarie-Hastings Council,2444,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,867.0,42.92478226115557,42.92478226115557,89.13675463298486,Peclet local snapshot (experimental),DC116,Rydges Port Macquarie charger,"1 Hay St, Port Macquarie NSW 2444, Australia",,Type 2,3.0,kW,,-31.428466,152.909201,
,,"1 Hollinsworth Rd, Sydney, 2765",Chargefox,4,AC,22 kW,-33.71981686,150.8425556,Blacktown City Council,2765,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1717.0,0.11056255240671888,0.11056255240671888,337.79347596578566,Peclet local snapshot (experimental),DC399,IKEA Marsden Park charger,"1 Hollinsworth Rd, Marsden Park NSW 2765, Australia",Chargefox,Type 2,5.0,22 kW,Open 24/7,-33.719816,150.842555,
,,"1 Ingham Dr, Casula NSW 2170",Evie,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,1453.0,0.0,0.0,1628.4383427489868,Peclet local snapshot (experimental),FC80,Casula Mall charger,"1 Ingham Dr, Casula NSW 2170, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,,-33.948829,150.90027,
,,"1 Jondaryan Ave, Griffith, 2680",Tesla,2,AC,22 kW,-34.2891582,146.0511201,Griffith City Council,2680,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1938.0,351.47752955639277,351.47752955639277,319.95363534680513,Peclet local snapshot (experimental),HC2601,Bridge Rd Griffith charger,2 Bridge Rd Griffith NSW 2680 Australia,Tesla,,6.0,DC,,-34.2923,146.0507,nearest=351.478m; gap=319.954m; manual confirmation required
,,"1 Kiaora Ln, Sydney, 2028",Chargefox,2,AC,22 kW,-33.87823128,151.2448659,Woollahra Municipal Council,2028,Existing Destination Chargers,review,coordinate_candidate,0.5,True,147.0,81.53942413044902,81.53942413044902,83.71350567372426,Peclet local snapshot (experimental),DC684,Kiaora Place Shopping Centre - Level 1 charger,"1 Kiaora Road, Double Bay, NSW, 2028",Chargefox,Type 2,2.0,22 kW,"6am-11pm, 7 days Upper level closes at 11pm",-33.878071,151.244004,nearest=81.539m; gap=83.714m; manual confirmation required
,,"1 Laman St, Newcastle, 2300",Chargefox,2,AC,22 kW,-32.92913118,151.772021,Newcastle City Council,2300,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1306.0,3.7422688668980033,3.7422688668980033,373.3438386192157,Peclet local snapshot (experimental),DC274,Laman St Parking charger,"25 Laman St, Cooks Hill NSW 2300, Australia",Chargefox,Type 2,2.0,22 kW,Open 24/7,-32.929146,151.772057,
,,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622,TfNSW Regional,accepted,coordinate_exact,1.0,False,409.0,0.0,0.0,5.336283428356793,Peclet local snapshot (experimental),AK871,Little Walker St Casino charger,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,,4.0,50 kW,,-35.442745,149.7913305,
